id,nom,type,latitude,longitude,district_region,departement_commune,verifie,niveau,shapeID
cmrev3n2a00mryo7efxo2p3yf,Guéhiébly,sous_prefecture,6.870173787491573,-7.450639015932154,Guéhiébly,,oui,ADM3,97208781B93587581829975
cmrev3n2f00mtyo7ekl7kg2os,Guépahouo,sous_prefecture,6.487553661734743,-5.689046045448936,Guépahouo,,oui,ADM3,97208781B36647530542882
cmrev3n2k00mvyo7eolu4glnk,Guéssabo,sous_prefecture,6.723894554619096,-6.888804262047571,Guéssabo,,oui,ADM3,97208781B84606142520905
cmrev3n2o00mxyo7eyy3jev9g,Guessiguié,sous_prefecture,5.678821215636419,-4.25144232804541,Guessiguié,,oui,ADM3,97208781B66947853400658
cmrev3n2t00mzyo7e6wj8z56f,Guéyo,sous_prefecture,5.680517577465804,-6.10168524421913,Guéyo,,oui,ADM3,97208781B63862796465730
cmrev3n2y00n1yo7eilxfpoho,Guézon,sous_prefecture,6.674180418364632,-7.118458097062455,Guézon,,oui,ADM3,97208781B12116179323626
cmrev3n3300n3yo7er056a6j8,Guézon,sous_prefecture,7.427641524680053,-7.290383210133283,Guézon,,oui,ADM3,97208781B65130428918282
cmrev3n3900n5yo7e5hp82tr6,Guiberoua,sous_prefecture,6.226630146596071,-6.147770271973465,Guiberoua,,oui,ADM3,97208781B40882713966094
cmrev3n3e00n7yo7e0uzdjvbi,Guiembé,sous_prefecture,9.240869956871336,-5.733210399475205,Guiembé,,oui,ADM3,97208781B98644002829591
cmrev3n3k00n9yo7euzzb38u6,Guiglo,sous_prefecture,6.362473162972523,-7.6366427991238,Guiglo,,oui,ADM3,97208781B40820422658221
cmrev3n3p00nbyo7eslxm71c2,Guinglo-Tahouaké,sous_prefecture,7.024208554650651,-7.170423880602362,Guinglo-Tahouaké,,oui,ADM3,97208781B68380869601743
cmrev3n3v00ndyo7e3p8t6wyi,Guintéguéla,sous_prefecture,8.26478590128654,-7.231718248437795,Guintéguéla,,oui,ADM3,97208781B11986933289454
cmrev3n4300nfyo7eagb3oy8a,Guitry,sous_prefecture,5.49219453900005,-5.151311102764105,Guitry,,oui,ADM3,97208781B99788682390598
cmrev3n4c00nhyo7ev7wnttyu,Hiré,sous_prefecture,6.144673704466713,-5.352404978777732,Hiré,,oui,ADM3,97208781B16408365293694
cmrev3n4i00njyo7e1emykuvy,Iboguhé,sous_prefecture,6.507294922444489,-6.944766185981434,Iboguhé,,oui,ADM3,97208781B44087097373944
cmrev3n4n00nlyo7egg8r7dxt,Iriéfla,sous_prefecture,7.696795986421099,-5.826011076052586,Iriéfla,,oui,ADM3,97208781B52171204994385
cmrev3n4r00nnyo7ew9mjeopy,Issia,sous_prefecture,6.474066008625051,-6.558105574763839,Issia,,oui,ADM3,97208781B50700511028321
cmrev3n4v00npyo7e354iwrge,Jacqueville,sous_prefecture,5.253190302559187,-4.603011375161244,Jacqueville,,oui,ADM3,97208781B28521728070732
cmrev3n5000nryo7eyjemmrd5,Kaadé,sous_prefecture,6.675954622413224,-7.658969401748455,Kaadé,,oui,ADM3,97208781B53164727477852
cmrev3n5600ntyo7exnkmhaav,Kadéko,sous_prefecture,6.107145860214341,-5.589673778107094,Kadéko,,oui,ADM3,97208781B88400045889930
cmrev3n5b00nvyo7eol7yadt8,Kagbolodougou,sous_prefecture,9.433890789358545,-5.377692882169766,Kagbolodougou,,oui,ADM3,97208781B48788955670746
cmrev3n5f00nxyo7et7jldmam,Kahin-Zarabaon,sous_prefecture,6.936924210813606,-7.712998299067748,Kahin-Zarabaon,,oui,ADM3,97208781B21322023716675
cmrev3n5k00nzyo7e87wju1ge,Kakpin,sous_prefecture,8.581193678538508,-3.881356524794824,Kakpin,,oui,ADM3,97208781B14285740853530
cmrev3n5o00o1yo7er55i2k95,Kalamon,sous_prefecture,9.788054533826136,-3.159144918630389,Kalamon,,oui,ADM3,97208781B63205701205338
cmrev3n5s00o3yo7e89oknes7,Kamalo,sous_prefecture,7.888145504964333,-7.007491372767808,Kamalo,,oui,ADM3,97208781B32048607078538
cmrev3n5w00o5yo7egs0fcjot,Kanakono,sous_prefecture,10.36009536762622,-6.232964657598087,Kanakono,,oui,ADM3,97208781B72810703779687
cmrev3n6100o7yo7ebavy5o2w,Kani,sous_prefecture,8.507981785781439,-6.570697394679024,Kani,,oui,ADM3,97208781B31416047203036
cmrev3n6600o9yo7edwlknl0s,Kaniasso,sous_prefecture,9.908903572725235,-7.501257824389257,Kaniasso,,oui,ADM3,97208781B25597988917018
cmrev3n6c00obyo7eguqy3afu,Kanoroba,sous_prefecture,8.994695827909139,-6.014976939727226,Kanoroba,,oui,ADM3,97208781B45405159990692
cmrev3n6i00odyo7ek5n7vtfh,Kanzra,sous_prefecture,7.320971746136411,-6.242682058818133,Kanzra,,oui,ADM3,97208781B2185814868766
cmrev3n6m00ofyo7e5v9fasd1,Kaouara,sous_prefecture,10.22725410012179,-5.182985371817345,Kaouara,,oui,ADM3,97208781B91375892980153
cmrev3n6r00ohyo7evl4soq87,Karakoro,sous_prefecture,9.436279579472576,-5.513049461164788,Karakoro,,oui,ADM3,97208781B9258660541315
cmrev3n6w00ojyo7ew86b08y3,Kasséré,sous_prefecture,9.794634941366244,-6.231055414901364,Kasséré,,oui,ADM3,97208781B16898116601135
cmrev3n7100olyo7eu82maqd8,Katiali,sous_prefecture,9.848790121354483,-5.933979239987297,Katiali,,oui,ADM3,97208781B62716107578377
cmrev3n7600onyo7ebkclz2ty,Katiola,sous_prefecture,8.093357629647778,-5.189783567988586,Katiola,,oui,ADM3,97208781B76272002773218
cmrev3n7a00opyo7eczpvbmuj,Katogo,sous_prefecture,10.12896481709021,-6.174939121754052,Katogo,,oui,ADM3,97208781B49059605853173
cmrev3n7f00oryo7eg154a07b,Kétro-Bassam,sous_prefecture,7.205272676350566,-6.631802069855624,Kétro-Bassam,,oui,ADM3,97208781B72611779505128
cmrev3n7l00otyo7ef9ek4ngs,Kiémou,sous_prefecture,9.03585062623839,-5.544955151393737,Kiémou,,oui,ADM3,97208781B75221340068098
cmrev3n7q00ovyo7ejax2jvbo,Kimbirila-Nord,sous_prefecture,10.31495349806526,-7.641566599514444,Kimbirila-Nord,,oui,ADM3,97208781B32587209316404
cmrev3n7w00oxyo7ezt51shpp,Kimbirila Sud,sous_prefecture,9.843989576594645,-7.648720557635087,Kimbirila Sud,,oui,ADM3,97208781B94690200048660
cmrev3n8100ozyo7e2p8kze5p,Koffi-Amonkro,sous_prefecture,7.483144606128251,-3.92568013184611,Koffi-Amonkro,,oui,ADM3,97208781B79203093857015
cmrev3n8600p1yo7eql11li40,Kokomian,sous_prefecture,7.293541731578997,-3.028919651999951,Kokomian,,oui,ADM3,97208781B32686171337216
cmrev3n8b00p3yo7enfosdvs2,Kokoumbo,sous_prefecture,6.489031134710889,-5.23874747374694,Kokoumbo,,oui,ADM3,97208781B20053123627263
cmrev3n8g00p5yo7ebb8s5nwe,Kolia,sous_prefecture,9.659591278174238,-6.523373644038665,Kolia,,oui,ADM3,97208781B69071023984953
cmrev3n8l00p7yo7e4ouwqjrr,Kombolokoura,sous_prefecture,9.366306557000051,-5.927860937350829,Kombolokoura,,oui,ADM3,97208781B91018472576079
cmrev3n8r00p9yo7e0yywgy6n,Komborodougou,sous_prefecture,9.279742521864453,-5.432253470389781,Komborodougou,,oui,ADM3,97208781B87701466318780
cmrev3n8x00pbyo7e7b72ux9r,Kondossou,sous_prefecture,7.755412211096821,-4.417968947548339,Kondossou,,oui,ADM3,97208781B78500814896153
cmrev3n9200pdyo7ekyrr4nk1,Kondrobo,sous_prefecture,7.873521882945995,-5.737076419621575,Kondrobo,,oui,ADM3,97208781B58294459424011
cmrev3n9700pfyo7e1i21y5v1,Kong,sous_prefecture,9.135413278110441,-4.600409024629823,Kong,,oui,ADM3,97208781B57939143035682
cmrev3n9d00phyo7eyh7v5j7b,Kongasso,sous_prefecture,7.833104550268507,-6.038896549771769,Kongasso,,oui,ADM3,97208781B8549979726306
cmrev3n9j00pjyo7ev5702kou,Koni,sous_prefecture,9.6864890234927,-5.744251771139659,Koni,,oui,ADM3,97208781B32897076856851
cmrev3n9p00plyo7e5h9hqjeu,Kononfla,sous_prefecture,6.632329550972269,-5.604870521277736,Kononfla,,oui,ADM3,97208781B15600823847155
cmrev3n9v00pnyo7ef6h54nbb,Koonan,sous_prefecture,8.390021492500049,-7.96211056132138,Koonan,,oui,ADM3,97208781B50923022989376
